date,label,GDP,GDP_diff,UNRATE,CPI,CPI_diff,INDPRO,INDPRO_diff,DFF,DFF_diff,DGS10,DGS10_diff,DGS2,DGS2_diff,T10Y2Y,VIX,DTB3,DTB3_diff,NEWS_SENTIMENT,GDP_missing,GDP_diff_missing,UNRATE_missing,CPI_missing,CPI_diff_missing,INDPRO_missing,INDPRO_diff_missing,DFF_missing,DFF_diff_missing,DGS10_missing,DGS10_diff_missing,DGS2_missing,DGS2_diff_missing,T10Y2Y_missing,VIX_missing,DTB3_missing,DTB3_diff_missing,NEWS_SENTIMENT_missing
2005-01-01,0,12767.286,240.07200000000012,5.3,192.36666666666667,0.9666666666666686,96.3006,1.3458333333333172,2.4690000000000003,0.5191086956521744,4.303606557377049,0.1278001057641455,3.454918032786886,0.6324986779481754,0.848688524590164,12.787049180327868,2.543606557377049,0.5319936541512424,0.3134026679727766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,0,12922.656,155.3700000000008,5.1000000000000005,193.66666666666663,1.299999999999983,96.85623333333332,0.5556333333333328,2.9417582417582415,0.4727582417582412,4.15859375,-0.1450128073770491,3.6459375,0.1910194672131147,0.51265625,13.40734375,2.86671875,0.323112192622951,0.1885275211963024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,0,13142.642,219.98599999999897,4.966666666666667,196.6,2.933333333333337,96.45046666666669,-0.4057666666666506,3.46,0.5182417582417584,4.21515625,0.0565625,3.95796875,0.31203125,0.2571875,12.25078125,3.3634375,0.4967187499999999,0.215718349603855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,13324.204,181.5619999999999,4.966666666666667,198.4333333333333,1.8333333333333144,97.34793333333332,0.8974666666666593,3.9782608695652177,0.5182608695652173,4.488196721311475,0.2730404713114751,4.364590163934427,0.4066214139344266,0.1236065573770491,12.781746031746032,3.8262295081967217,0.4627920081967214,0.2247197506544382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,13599.16,274.95600000000013,4.733333333333333,199.46666666666667,1.03333333333336,98.30133333333332,0.953400000000002,4.454111111111112,0.4758502415458943,4.577096774193548,0.0889000528820735,4.6046774193548385,0.2400872554204118,-0.0275806451612903,12.04241935483871,4.398870967741936,0.5726414595452147,0.3258094807465871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,13753.424,154.26400000000103,4.633333333333333,201.26666666666665,1.799999999999983,98.8828,0.5814666666666568,4.907582417582417,0.4534713064713056,5.072698412698412,0.4956016385048638,4.997936507936508,0.3932590885816696,0.0747619047619047,14.528730158730156,4.708253968253969,0.3093830005120326,0.2617545537241212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,13870.188,116.7639999999992,4.633333333333334,203.16666666666663,1.9000000000000057,99.2836,0.4008000000000038,5.2453260869565215,0.3377436693741042,4.893492063492064,-0.179206349206348,4.929047619047618,-0.0688888888888898,-0.0355555555555555,13.607936507936508,4.906825396825397,0.1985714285714284,0.1757285424872585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,14039.56,169.3719999999994,4.433333333333334,202.33333333333337,-0.8333333333333144,99.51353333333334,0.2299333333333493,5.242934782608696,-0.0023913043478254,4.630645161290323,-0.2628469022017414,4.737580645161291,-0.1914669738863272,-0.1069354838709677,11.034920634920637,4.903548387096774,-0.0032770097286229,0.2359939191652381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,14215.651,176.09100000000035,4.5,204.317,1.9836666666666645,100.52153333333332,1.0079999999999814,5.254555555555556,0.01162077294686,4.679032258064517,0.0483870967741939,4.760483870967741,0.0229032258064503,-0.0814516129032258,12.56360655737705,4.978225806451612,0.0746774193548382,0.2347999258587757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,14402.082,186.4310000000005,4.5,206.631,2.313999999999993,101.71776666666666,1.196233333333339,5.252417582417583,-0.0021379731379731,4.84609375,0.1670614919354829,4.80375,0.0432661290322586,0.04234375,13.731904761904762,4.7375,-0.2407258064516124,0.1135827467500508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
